,Count,Count,Count,Count, Avg SC Ratio, Avg SC Ratio, Avg SC Ratio, Avg SC Ratio,Avg ReLy,Avg ReLy,Avg ReLy,Avg ReLy,Avg semantic diff,Avg semantic diff,Avg semantic diff,Avg semantic diff,Avg NSC similarity,Avg NSC similarity,Avg NSC similarity,Avg NSC similarity,Avg SC similarity,Avg SC similarity,Avg SC similarity,Avg SC similarity,Avg references,Avg references,Avg references,Avg references,Average SCs,Average SCs,Average SCs,Average SCs,Size
Surgery(Q1),23,6433,624.9466666666667,1201.5790837121024,0.031171317,0.258141727,0.11211249074666665,0.05419799471442437,-1.939707329,0.279175683,-0.3344194470133333,0.389952713679783,-0.20281634,0.017340693,-0.03636162772,0.040155090388762395,0.151621879,0.622228972,0.42694089306666666,0.10058193888248083,0.232370264,0.754943465,0.46330252077333334,0.1133571747228368,23.07438017,59.48571429,32.4121385884,6.266163742457672,1.153846154,7.126204819,3.1333340753466667,1.537597445173575,75
Neurology(clinical)(Q1),27,2720,476.9864864864865,636.0991456546336,0.015652828,0.281902931,0.0792636307027027,0.04815730784500578,-1.500968557,0.376597689,-0.27800792235135136,0.35064057317266184,-0.140387178,0.040044611,-0.04321212672972973,0.04557263306020747,0.207235041,0.671423245,0.47933309990540546,0.11387405143052771,0.239612264,0.741361412,0.5225452266486487,0.14008836091990845,27.36904762,135.8764045,52.64371895148649,20.94233519485326,1.137254902,8.730878187,2.9780250974999998,1.5960916536824192,74
Genetics(Q1),21,25921,1764.6760563380283,3734.760297432174,0.011550943,0.278039589,0.0732889523943662,0.05420317916867963,-2.865748158,0.559401085,-0.484828401056338,0.5032167675009596,-0.152904382,0.168902548,-0.06214232732394366,0.050281570666073416,0.418043864,0.687973462,0.6214131625352113,0.05877517751657757,0.389167285,0.791175654,0.6835554897605634,0.0858116615718913,25.38555858,164.9411765,55.46763478197183,22.520069238132645,1.138888889,8.722222222,2.879823730112676,1.6226143759366507,71
Biochemistry(Q2),21,3019,366.8,558.028844509267,0.013137329,0.280385324,0.0646042085,0.04619620636357685,-2.289381116,0.101217813,-0.44227108675714283,0.36659539774530375,-0.138868446,0.032215381,-0.07103313877142857,0.031404195938084106,0.282132433,0.667448742,0.6018646780571429,0.0661946397013577,0.397275308,0.763515172,0.6728978168285714,0.07815464937614945,15.91666667,152.9189189,52.70859888185714,20.054621451583184,1.177570093,7.336569579,2.3142861581142857,1.0392225533926784,70
"PublicHealth,EnvironmentalandOccupationalHealth(Q2)",21,2593,196.75,356.77487257581987,0.035174101,0.226806609,0.08911279760294118,0.0336085664842341,-1.522256567,0.730048037,-0.47713257170588236,0.5143924828260036,-0.193505354,0.040414377,-0.062399586720588235,0.05793993898803704,0.202430319,0.650380433,0.4693878102647059,0.10583424649527683,0.251714992,0.766002676,0.5317873970441176,0.14911727064765043,20.14583333,59.40993789,30.564122986911766,6.513414121969243,1.153846154,4.705583756,2.1790926457205884,0.7797622556105611,68
Oncology(Q1),22,9857,706.4117647058823,1356.400650044674,0.024072825,0.260363153,0.06695107926470588,0.040538526718066285,-0.928137635,0.487140818,-0.2894269343235294,0.2728189072180002,-0.215589997,0.053137439,-0.05942993507352941,0.05720177665508791,0.156370004,0.644434442,0.49152751607352946,0.10258595637394138,0.289151495,0.810471894,0.5509574511911765,0.13316482029529514,22.54878049,145.0,52.68720766308824,26.79239492738959,1.098591549,6.652376514,2.398807629485294,1.109815370174824,68
Pharmacology(Q1),21,18705,996.7647058823529,2721.0546853245664,0.007498639,0.227328592,0.05936453338235294,0.039330265186136505,-2.094556743,0.043772079,-0.4470155288970588,0.3601727455841516,-0.145467041,0.011354199,-0.07737011429411765,0.033187276192346245,0.312586879,0.669096117,0.5590098889411765,0.08713804692629673,0.37966625,0.765522892,0.6363800032647058,0.10374125547322871,25.63095238,423.4190476,72.52289534632352,55.856152383044105,1.103448276,7.361626879,2.451440380264706,1.1982275403022677,68
CardiologyandCardiovascularMedicine(Q1),23,2354,469.2089552238806,567.8901285463648,0.021404372,0.251031575,0.08998738356716418,0.04697125056785568,-1.890603963,0.209180731,-0.30658947547761195,0.33360772710812076,-0.199753949,0.047387562,-0.044882307701492534,0.048991174697469254,0.202142537,0.626562785,0.43138722483582087,0.09927854310759605,0.232370264,0.737157293,0.4762695325373134,0.1263978964329272,23.07438017,97.65106383,41.4910954480597,15.418790122288277,1.0625,7.111702128,2.9110183881641793,1.3728267912992616,67
Neurology(clinical)(Q2),26,3657,328.0483870967742,562.1114593230367,0.012586058,0.183302272,0.07215997972580644,0.03285028962193221,-1.428756464,0.165556437,-0.3864078471129032,0.30280062042861167,-0.205659276,0.023943225,-0.05887277472580645,0.04573193416091882,0.239809168,0.666071142,0.4874030344032258,0.11331760454397678,0.256457063,0.744873735,0.5462758091290323,0.14540644960477397,24.14285714,109.9666667,44.33810034629032,16.115785676120606,1.1,5.882352941,2.354543514080645,0.9311406741801445,62
InfectiousDiseases(Q1),26,19596,1295.9344262295083,3482.216831602404,0.0105699,0.227328592,0.07853545395081966,0.04940832945058466,-2.094556743,0.362108919,-0.37238311922950823,0.4713365247692933,-0.246970504,0.057186009,-0.05417170824590164,0.055634231720003306,0.225849568,0.664452277,0.5135145314262295,0.10261472689930042,0.289151495,0.76483891,0.5676862396557377,0.13123934877255083,20.30679157,289.7439024,57.142494723934426,50.553526276012676,1.277777778,7.152020821,2.6813740483770494,1.2954909040278264,61
PsychiatryandMentalHealth(Q2),21,724,143.54098360655738,161.19280109757713,0.021188213,0.162650627,0.07032081481967213,0.031610927995288904,-1.448140268,0.233801315,-0.43230127799999996,0.3667519197280874,-0.206455822,0.020054142,-0.06700485681967214,0.047586241110467484,0.197924825,0.671153932,0.48905812288524586,0.10967884577747346,0.264722283,0.765308353,0.5560629797377049,0.1421100992685264,20.35365854,86.42307692,38.782020067049174,11.279513228901065,1.106382979,5.4,2.1110404040819675,0.8619409180366255,61
MolecularBiology(Q3),21,3118,323.1864406779661,534.7590973763494,0.024617116,0.119270603,0.0610531640338983,0.02506518049575727,-1.386288125,0.299392413,-0.4619030639220339,0.35817986563581056,-0.37097902,0.047772998,-0.07811142522033898,0.06002887119013035,0.307344218,0.670729189,0.5842937350847458,0.08490544101613791,0.323367155,0.80204296,0.6624051602881356,0.11858093500561154,15.91666667,133.7692308,46.64420974847457,18.82987228549685,1.105263158,4.67037037,2.0862782775423727,0.8225294000082429,59
Oncology(Q2),21,10837,579.4655172413793,1527.7793564346828,0.029047488,0.13587871,0.05768111443103448,0.02131747591595237,-1.270206751,0.165769195,-0.3577735989137931,0.27682091477862114,-0.375891298,0.032341999,-0.07065945606896552,0.061848338186524604,0.282522109,0.630529981,0.4991850272931035,0.08586700961079993,0.251581265,0.924806655,0.5698444833275862,0.12567947998516535,25.36,88.16666667,41.40563761586207,13.076588172868425,1.129380054,4.235294118,1.8302117518965517,0.6632807629562179,58
"Pediatrics,PerinatologyandChildHealth(Q1)",26,3615,396.01724137931035,622.4851295730886,0.017990928,0.187187129,0.08838590386206896,0.04039767556624703,-1.965765988,0.582442108,-0.3769491841206896,0.3690065807355782,-0.186351025,0.027177205,-0.05157358607413793,0.04475888140665594,0.205519102,0.651943855,0.4558797033448276,0.11047075220680692,0.26143099,0.771437831,0.5074532895172413,0.1326403887374499,23.10714286,108.3064516,38.66464763396552,16.70607146581419,1.166666667,5.275,2.577266139465517,1.037975947949504,58
CellBiology(Q1),25,32460,1972.859649122807,5032.479137131535,0.011808686,0.178271759,0.060411505684210526,0.035378465308501916,-1.306807881,0.348307226,-0.2668981880350877,0.2794903354922774,-0.100815292,0.072507216,-0.043687095438596495,0.03297662744648138,0.38349135,0.687973462,0.6117351479649122,0.07400064854239825,0.379911,0.746852676,0.6554222434385965,0.09568851022548955,32.75834085,191.64,66.85319519122807,31.08392362943116,1.127659574,7.503117693,2.8420519504561406,1.5881020164954085,57
Genetics(Q2),21,3082,392.1929824561403,576.1609534111011,0.020988225,0.318830217,0.06842965642105264,0.0498099851586596,-3.559666667,0.371587803,-0.4176487649649123,0.5543677783786202,-0.139415075,0.059768358,-0.06287094754385965,0.052730206923978326,0.282132433,0.682258368,0.5780329945964912,0.08815105639052535,0.325375553,0.778368831,0.6409039421228071,0.12027432602956696,26.14731369,100.4166667,50.07713045614035,16.569072449922224,1.175438596,8.254452926,2.3589010224561404,1.2023628537184161,57
CellBiology(Q2),22,12543,657.140350877193,1681.8374989299703,0.026162239,0.134082363,0.05184737961403509,0.024903714807439258,-0.970251372,0.680678865,-0.26691703889473684,0.24848471982540804,-0.144696365,0.148677113,-0.05445491759649122,0.04759424179991257,0.372763115,0.683693504,0.6122938628245614,0.06287793553053576,0.325375553,0.768776255,0.6667487804561403,0.09486174669662872,36.83024119,100.4166667,58.24184564859649,12.935466873699616,1.058139535,5.571618625,2.281036117859649,0.9309352146010966,57
"Radiology,NuclearMedicineandImaging(Q1)",21,4377,474.25925925925924,778.8902891035544,0.024231392,0.401302001,0.1112348337962963,0.07071128815713502,-2.661349695,0.605925747,-0.4671915749814815,0.6507025254850974,-0.375891298,0.03938469,-0.053341749777777774,0.06841236715057336,0.282522109,0.699026842,0.48868256525925924,0.11077241605492091,0.251581265,0.924806655,0.5420243151666666,0.15882875943270014,20.13518887,91.21621622,38.16467417907407,13.017533115979663,1.129380054,11.87473551,3.37926480587037,1.982061538868052,54
"Ecology,Evolution,BehaviorandSystematics(Q1)",23,4449,597.0555555555555,960.7887564866663,0.035708506,0.280385324,0.09814949259259259,0.05799978779395005,-5.585591051,0.975863507,-0.5992074240925925,0.8959561488409046,-0.225925595,0.125177742,-0.05206109746296296,0.05966914275985788,0.446176714,0.726649399,0.6212273502222222,0.07829891282123445,0.382796899,0.791175654,0.6732884476851851,0.12552748256953677,16.44444444,67.675,42.57240270425926,13.759196783094431,1.166666667,7.412087912,3.0506654542037035,1.3903271418983292,54
Surgery(Q2),21,1955,223.77358490566039,372.486016335845,0.031842035,0.216227844,0.08078025509433961,0.035019360460590045,-4.542580782,0.263537242,-0.44166329750943395,0.7027949773845875,-0.195537506,0.045353856,-0.0497202087735849,0.055602818279723576,0.214536947,0.600241937,0.4379312476603774,0.10383401382078666,0.24268817,0.747543134,0.48765145645283015,0.13447709349501277,18.79151943,61.08,31.606658066226416,9.137120918786465,1.202380952,5.444444444,2.023114016679245,0.8892188620582292,53
"Endocrinology,DiabetesandMetabolism(Q1)",22,4916,639.3137254901961,1115.3966377965478,0.012871155,0.258141727,0.06976725305882353,0.04923550722018101,-1.831985469,0.24044542,-0.34612769817647054,0.35022404859860357,-0.156314776,0.047387562,-0.056755828960784314,0.04445840997443985,0.270699013,0.648875656,0.49527154254901956,0.09426516715667464,0.306828898,0.742074582,0.5520273715882353,0.11826126515442163,26.98245614,345.7054264,61.06543239411765,47.331751637581036,1.136363636,7.126204819,2.6726534394117647,1.4217960111106234,51
"Biochemistry,GeneticsandMolecularBiology(miscellaneous)(Q1)",23,11813,1044.6041666666667,2226.242982853775,0.017585216,0.374002666,0.06575761797916667,0.05804765804055322,-4.311010357,0.348307226,-0.42353152277083334,0.7225717792081713,-0.163487529,0.072507216,-0.06010363697916667,0.044241369203811894,0.310733769,0.682956638,0.5888099717916667,0.08269859152615557,0.358790774,0.770703977,0.6489136088124999,0.10704797339430205,16.50253807,131.6343826,62.31492703125,32.40390436194331,1.184100418,6.498583569,2.3398638677083334,1.0302962637560842,48
Pharmacology(medical)(Q1),21,18705,891.936170212766,2735.1255547387614,0.009003982,0.227328592,0.06467981278723405,0.038645321943476946,-2.094556743,0.043772079,-0.440839764212766,0.4206514186476038,-0.215589997,0.011354199,-0.0756917185531915,0.047112053018727736,0.285699525,0.634071226,0.4937532651489362,0.09523249165164147,0.325160772,0.793498431,0.5694449837446808,0.12201509219042926,25.36,237.5233645,59.21367293340426,37.76847249062771,1.1,6.094680567,2.3047179218723404,1.114795106002881,47
InfectiousDiseases(Q2),21,3105,270.468085106383,546.6062031761087,0.027703987,0.19280445,0.06925462436170213,0.03582117220355193,-1.236426455,0.218714115,-0.4042273104042553,0.3328432133212803,-0.137506859,0.00707381,-0.06535064742553191,0.04059480042340336,0.320494697,0.660024937,0.5445579887659574,0.08626068958362088,0.320122934,0.749502064,0.6099086361914894,0.11726259991834821,25.24561404,82.29032258,41.809547565106385,13.674379114978171,1.082568807,5.94095941,2.0789247632978722,0.9712338542769934,47
CellBiology(Q3),21,3118,395.9782608695652,656.0441885229119,0.025292041,0.116715167,0.0597547577826087,0.024483161644953056,-1.537116121,0.695525308,-0.4303095727826087,0.3331105025585686,-0.153362699,0.098357789,-0.07327714676086956,0.04538353501700422,0.307344218,0.677376743,0.5992638335652174,0.07274974571674266,0.323367155,0.764017321,0.6725409802173913,0.10319386551852083,25.82568807,87.0,48.750445561521744,13.590136681158693,1.105263158,6.645502646,2.239102898,0.9660920952727733,46
Immunology(Q1),38,34336,1943.4347826086957,5302.772388738109,0.013127347,0.257611928,0.06901892215217391,0.049865357345771424,-1.82520989,0.227768735,-0.3491437249565217,0.3417506385618174,-0.120016816,0.04809774,-0.057863542239130435,0.03272894802400122,0.209318326,0.676411179,0.5771492619782609,0.10308882713786391,0.284848476,0.749695626,0.635012804173913,0.1224456527184678,22.39473684,207.4533333,65.66112961043478,34.64263620143677,1.138888889,11.98293336,3.0730511532173916,2.1181985167013244,46
Genetics(Q3),21,1837,249.17777777777778,410.560663709833,0.028217345,0.148432605,0.06788790453333333,0.026502084724946803,-1.619004358,0.165101587,-0.5882257196977778,0.3972749857298938,-0.37097902,0.021764446,-0.09192397355555555,0.06294395181415166,0.375434609,0.679877933,0.5860710872,0.07779123646847665,0.376878558,0.80204296,0.6779950607555556,0.10581630677811062,15.91666667,133.7692308,43.71775282755555,19.97638525881999,1.28,3.432692308,2.0914856459555553,0.6499281642647462,45
CardiologyandCardiovascularMedicine(Q2),22,1853,279.77777777777777,439.22498319037567,0.02350626,0.181945738,0.07144862117777778,0.031193001764080887,-1.529652656,0.225440953,-0.4200680844888888,0.37748234656310653,-0.354979562,0.031654152,-0.07341175257777778,0.0698827553675944,0.1501728,0.629844738,0.45524798937777783,0.09721576937643576,0.307377275,0.797222263,0.5286597419777778,0.12790713405203594,23.43340858,84.45454545,39.82729353111111,13.532014197704239,1.116666667,4.723151646,2.0953410334666667,0.7118174618767561,45
Pharmacology(Q2),23,4499,319.1777777777778,761.0769370046656,0.013137329,0.198515666,0.06846069753333334,0.04205609827494144,-2.147119826,0.116708662,-0.5017370854666667,0.4368072988638632,-0.152156443,0.010281043,-0.07904735140000001,0.03943370283093818,0.338293084,0.665742272,0.5425724880666667,0.08225611941674082,0.375186183,0.778368831,0.6216198395333333,0.10829410079336699,25.46491228,157.8942308,52.09449352777778,31.34538397634836,1.185185185,12.2,2.4181047342666666,1.767402578455837,45
HealthPolicy(Q1),24,2606,343.04545454545456,506.85041848956234,0.054710811,0.20479226,0.10634767663636363,0.03426027122442673,-3.161799716,0.668915667,-0.5681216751136363,0.7333722432035328,-0.192791014,0.012193056,-0.05174185113636364,0.05199932771379389,0.224101005,0.624716247,0.4499220758409091,0.08392779341172707,0.27588586,0.766357939,0.5016639270909091,0.1261829316668077,18.34722222,67.31137725,30.665423468181817,9.0504660459827,1.176470588,4.705583756,2.6663659769772727,0.9302025324045629,44
ClinicalPsychology(Q1),22,1118,230.0,259.4296068883283,0.016833138,0.156126211,0.0803662875,0.03416723376209997,-1.350292617,0.181567744,-0.5361525378409091,0.4164864391449108,-0.130770891,0.025639135,-0.07074483188636364,0.04116495847200531,0.314951193,0.677712176,0.5431016692045455,0.08969886747605756,0.312989085,0.769258643,0.613846501,0.12515365184987975,25.57777778,118.5,42.84928838363636,17.229109972769482,1.227272727,4.974358974,2.665180793363636,0.9622591119766095,44
Biochemistry(Q3),22,2719,319.52272727272725,560.6302304419664,0.016786084,0.176909171,0.06996087625,0.03579125810840264,-1.619004358,0.534889326,-0.5968100710909091,0.4372118100711178,-0.189664046,0.086230104,-0.08316779745454546,0.05004375208029421,0.425017826,0.667637684,0.598219569,0.05285504795678168,0.355754558,0.786109351,0.6813873665,0.08392400005322523,19.88888889,111.6,40.77772415431818,16.730977994568345,1.227272727,6.261029412,2.0161076484318183,0.8589597080066521,44
Immunology(Q2),25,19596,843.7441860465116,3027.69124749271,0.021547786,0.251086589,0.06336881913953489,0.04380642021556809,-1.550039186,0.216360356,-0.28520958423255816,0.32170684386461945,-0.134402104,0.05325992,-0.05279144479069767,0.0445720794855245,0.309959948,0.66209085,0.5293536197209303,0.09406226677346026,0.354122366,0.758243311,0.5821450645813954,0.12581533357047256,32.71717172,88.16666667,52.49696810930232,15.069096780562312,1.153846154,7.537585421,2.4440748495581395,1.533745416024263,43
Biotechnology(Q1),21,20882,1091.3488372093022,3313.5764154655567,0.015308478,0.278039589,0.07355610355813953,0.04923193060823821,-2.865748158,0.348307226,-0.4329323252093023,0.5963711015100152,-0.115380677,0.072507216,-0.056786231790697674,0.04781207110105578,0.38349135,0.684370639,0.5887933775348837,0.07923567486480279,0.379911,0.761148088,0.6455796093488372,0.1124262543138312,25.38555858,156.9661017,52.0287476855814,26.724540740574454,1.184100418,6.151226158,2.5160021425348837,1.1499741088984674,43
OrthopedicsandSportsMedicine(Q1),22,3832,651.6511627906976,1059.2722318316323,0.026105288,0.281902931,0.11564418169767442,0.062330133108777865,-2.172068839,0.279175683,-0.3906810254651163,0.47568860579832073,-0.197736776,0.036503532,-0.03964915853488372,0.047853283199475065,0.220388551,0.625747765,0.4525584493953488,0.10359642604024044,0.308814968,0.767496302,0.4922076080232558,0.11817926759623772,26.3,77.48905973,36.3582257072093,9.793469369318606,1.153846154,8.730878187,3.5166912178139538,1.9039550793236821,43
"Radiology,NuclearMedicineandImaging(Q2)",26,1958,410.85714285714283,534.7705489924499,0.043680668,0.181945738,0.083412636,0.03410696211500833,-1.432918284,0.734556365,-0.3360766766904762,0.4301901064234058,-0.163799452,0.102982876,-0.04765861059523809,0.053187111731217394,0.203833511,0.688066324,0.48169286769047615,0.09998453694042427,0.219710074,0.774746644,0.5293514784047619,0.13407832999814953,21.58482143,52.87837838,32.42237341880952,7.79045937213466,1.272727273,4.723151646,2.155030460952381,0.7993545859603313,42
CancerResearch(Q1),22,9857,1144.2380952380952,1757.256798001679,0.0196467,0.260363153,0.06323944826190477,0.04244032402031386,-0.928137635,0.137026155,-0.31145200942857143,0.264755212787067,-0.190736297,0.020958298,-0.06230683092857142,0.05125257887677175,0.156370004,0.659529078,0.5417882962619048,0.10330070808560092,0.339368378,0.810471894,0.6040951271428571,0.12644860562088703,28.05964585,175.2807018,56.30668203857143,32.50523014904724,1.230769231,6.652376514,2.4942838927857145,1.0759857372966135,42
PlantScience(Q1),24,12771,1112.7560975609756,2351.309632741802,0.032818789,0.243379853,0.09153518685365854,0.04700353378918966,-1.518252294,0.618864849,-0.5326893255853659,0.5319651937069061,-0.138444384,0.072507216,-0.05281514536585366,0.0473892381211931,0.455251244,0.686878254,0.6205240393414635,0.06826258335027881,0.383646859,0.763257595,0.6733391848048781,0.1052805651471587,24.80434783,77.2972973,44.88700883585366,13.410373123653832,1.184100418,6.702160231,2.9624411160731707,1.4065666108164423,41
Oncology(Q3),23,1254,201.41463414634146,275.8932742574342,0.017341143,0.166847008,0.06292072397560976,0.026433509827613506,-1.277137873,0.734556365,-0.4220595301707317,0.4433534861892888,-0.21852463,0.102982876,-0.07534308990243901,0.0661408357183786,0.237064806,0.630101287,0.5062449226829269,0.09152266112338063,0.281435356,0.782126354,0.5815880125121952,0.139122760324606,15.95744681,96.21052632,36.91325228097561,15.036406650784294,1.051724138,4.558644657,1.7219446605609754,0.612353695416933,41
CancerResearch(Q2),21,3657,399.4146341463415,677.0763611148213,0.024231392,0.097903248,0.04855336536585366,0.016991835763355837,-1.270206751,0.3953919,-0.33078929270731705,0.3031201559236395,-0.375891298,0.049671714,-0.07915655948780488,0.06976379154050007,0.247317201,0.651921482,0.5397907457804878,0.10551181085304456,0.29470392,0.924806655,0.6189473054146342,0.13901930097531037,22.54878049,104.1818182,52.94716565414634,17.4383861174253,1.129380054,3.409574468,1.8676804865365852,0.5761661211539593,41
ImmunologyandAllergy(Q1),41,8590,1169.1463414634147,1849.481543040854,0.013127347,0.183508499,0.07001006595121952,0.04078932010604286,-2.03970809,0.227768735,-0.3514772789268293,0.3530145290625666,-0.123327618,0.017295322,-0.058652292829268295,0.03174303050578254,0.209318326,0.676411179,0.5731523755121951,0.10402158948340874,0.284848476,0.749258918,0.6318046682926829,0.12042431552085382,30.59275618,207.4533333,64.75661075097561,36.94696150092886,1.184615385,7.823445318,3.053703045390244,1.5686948246912535,41
DevelopmentalandEducationalPsychology(Q1),28,3529,423.94871794871796,638.8620619062067,0.040137621,0.230553716,0.09456409515384614,0.0427911406564049,-1.72713084,0.582442108,-0.5016101663846154,0.47450558807957766,-0.133022954,0.036239327,-0.0607189911025641,0.040311568501822895,0.351101115,0.702105317,0.6295331241025641,0.07663611059741446,0.337944423,0.760265147,0.6902521152820513,0.10040230250290397,27.35294118,71.91709845,39.355582095128206,11.09620431910352,1.166666667,7.10682913,3.091951244179487,1.4362913537522164,39
"Pediatrics,PerinatologyandChildHealth(Q2)",23,2447,262.46153846153845,547.0746050419278,0.022290889,0.156010884,0.07635465464102564,0.026159234102426383,-1.490350089,0.088623777,-0.3756041024102564,0.37762935326833336,-0.147785755,0.00099337,-0.055337951461538464,0.04737881357487168,0.095024682,0.624991406,0.45038196556410254,0.10861116336940997,0.168175037,0.723671395,0.5057199169743589,0.1358423203001594,22.4028777,138.637931,38.123123963846155,22.266234756030517,1.09375,8.879310345,2.397458366128205,1.5638516344575508,39
"Endocrinology,DiabetesandMetabolism(Q2)",21,1734,246.55263157894737,354.6030668125807,0.029047488,0.15169824,0.060428614368421056,0.028980611571429886,-1.140373758,0.233801315,-0.35268713994736844,0.2744124479856862,-0.162815285,0.020054142,-0.06646419384210527,0.045445804490972866,0.211444286,0.681549812,0.4931161197894737,0.1087553780276933,0.26143099,0.762951126,0.5595803137894737,0.1379995774268069,27.15517241,78.28937729,44.071882094473686,12.611886988082427,1.111111111,4.885,1.9527031815000002,0.8189294885694816,38
Physiology(Q1),22,13281,1299.8157894736842,2912.6932076526905,0.006339358,0.243379853,0.07617313647368422,0.052694276937321226,-1.427639031,0.348307226,-0.4259569841052631,0.3860531338559476,-0.141432703,0.072507216,-0.054250596868421055,0.03965776813242808,0.410892375,0.686878254,0.6042105475789473,0.08058910088633696,0.418719595,0.791175654,0.6584611443421052,0.10626864016802484,32.83333333,530.6461538,85.35310289289474,107.19449534472227,1.181818182,6.595176572,3.4066624010526314,1.5783590034263648,38
Neurology(clinical)(Q3),22,2447,213.1891891891892,426.3314332664094,0.037675623,0.216194049,0.08125008637837837,0.039372715689533225,-1.755356015,0.431970134,-0.4179943104054054,0.43559261209310945,-0.183189678,0.069892126,-0.056391728216216214,0.05571973790286502,0.233978672,0.644619924,0.45714869864864865,0.10618703207202672,0.278492298,0.738636809,0.513540426972973,0.13624557984079874,18.75,53.20833333,34.37751996081081,9.588052694050527,1.196969697,8.653061224,2.1856443736756757,1.3147243150211771,37
