Journal Name,Journal ISSN,Count, Avg SC Ratio,Avg ReLy,Avg semantic diff,Avg NSC similarity,Avg SC similarity,Avg references,Average SCs
Frontiers in plant science,1664-462X,4691,0.052463099,-0.305875426,-0.063846511,0.660225815,0.724072326,59.14133447,2.389256022
Gut,0017-5749,4641,0.105391765,-0.310883993,-0.023744258,0.495691784,0.519436043,34.64081017,3.120879121
Genes & development,0890-9369,4639,0.076962739,-0.204795782,-0.028793106,0.673274619,0.702067725,54.10196163,3.864410433
PLoS pathogens,1553-7366,4605,0.04630673,-0.307623983,-0.071489126,0.636201908,0.707691033,62.06384365,2.693376764
Clinical and experimental immunology,0009-9104,4563,0.069803398,-0.599937525,-0.088038854,0.617818773,0.705857626,36.72824896,2.219811528
Pharmaceutical research,0724-8741,4499,0.120057572,-0.050607801,-0.000962991,0.435704027,0.436667018,32.28228495,2.986885975
PLoS genetics,1553-7390,4449,0.043504581,-0.354884184,-0.084299829,0.654361915,0.738661744,62.09238031,2.412452236
TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,0040-5752,4404,0.278039589,-2.865748158,-0.099503625,0.656138371,0.755641996,25.38555858,6.151226158
European radiology,0938-7994,4377,0.104544054,-0.818594647,-0.071608405,0.491075637,0.562684042,31.52867261,2.980123372
Cancer research,0008-5472,4347,0.093081332,-0.784951423,-0.082222789,0.644434442,0.726657231,42.37451116,3.835288705
Malaria journal,1475-2875,4327,0.172603177,-0.038856958,0.003571504,0.483278948,0.479707444,33.9341345,5.241044604
Intensive care medicine,0342-4642,4215,0.147412251,0.122471277,0.007876322,0.411138232,0.40326191,30.30177936,4.097034401
International journal of molecular sciences,1422-0067,4189,0.04092032,-0.293264681,-0.086943217,0.618743369,0.705686586,72.20219623,1.746240153
Journal of neurophysiology,0022-3077,4079,0.148205771,-0.677886951,-0.04786979,0.698817484,0.746687274,57.58470213,8.221132631
Protein science : a publication of the Protein Society,0961-8368,3953,0.064921746,-0.497263166,-0.074148463,0.647267113,0.721415576,40.14343537,2.325069567
NeuroImage,1053-8119,3947,0.191796644,-1.033024758,-0.049442757,0.673294002,0.722736759,56.28756017,10.02229541
Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,0937-941X,3875,0.154215442,-0.601974759,-0.034771206,0.510785598,0.545556804,36.13187097,5.134451613
Emerging infectious diseases,1080-6040,3843,0.134835944,-0.52988199,-0.042171788,0.559121618,0.601293406,20.30679157,2.371324486
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",0942-2056,3832,0.131593077,-0.488647044,-0.042743775,0.539619459,0.582363234,32.92745303,4.146659708
Investigative ophthalmology & visual science,0146-0404,3821,0.165769419,0.027033759,0.002612731,0.3657008,0.363088068,46.36299398,7.406961528
"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",0940-6719,3809,0.128482885,-0.932086649,-0.082331561,0.5054462,0.587777761,30.37621423,3.610921502
Journal of neuro-oncology,0167-594X,3657,0.078109522,-0.747044071,-0.089333204,0.581398766,0.67073197,36.31665299,2.488105004
"Pediatric nephrology (Berlin, Germany)",0931-041X,3615,0.130135473,-1.260725502,-0.093419905,0.549231202,0.642651107,36.2406639,3.881051176
Frontiers in immunology,1664-3224,3596,0.038035004,-0.194311438,-0.066192609,0.616879881,0.68307249,90.25750834,2.229977753
Journal of autism and developmental disorders,0162-3257,3529,0.230553716,-1.72713084,-0.06944395,0.600981837,0.670425787,33.86766789,7.10682913
"Critical care (London, England)",1364-8535,3508,0.089777331,-0.27261029,-0.029998129,0.465681457,0.495679587,35.831813,2.708950969
Oecologia,0029-8549,3451,0.248091058,-1.666829661,-0.061224948,0.689785859,0.751010807,19.56302521,4.136192408
Annals of the rheumatic diseases,0003-4967,3396,0.131282009,-0.155859566,-0.009545624,0.461432839,0.470978463,30.59275618,3.595111896
World journal of surgery,0364-2313,3387,0.090908744,-0.338463042,-0.037595332,0.423485732,0.461081064,30.41925007,2.379096546
Immunology,0019-2805,3380,0.062123892,-0.446547977,-0.069953934,0.654723569,0.724677504,39.6683432,1.973964497
Clinical orthopaedics and related research,0009-921X,3348,0.173501306,-0.30524691,-0.020837513,0.418872368,0.43970988,30.79569892,5.001493429
PLoS computational biology,1553-734X,3335,0.046943998,-0.392029027,-0.084812368,0.667827285,0.752639653,54.51214393,2.16071964
Obesity surgery,0960-8923,3320,0.258141727,-0.4823659,-0.019356617,0.338378911,0.357735528,29.86716867,7.126204819
Evidence-based complementary and alternative medicine : eCAM,1741-427X,3309,0.073325894,-0.643475126,-0.098565976,0.545250557,0.643816533,38.90268963,2.261710487
The British journal of ophthalmology,0007-1161,3268,0.116632349,-0.089365937,-0.006917291,0.464551265,0.471468556,25.69308446,2.591493268
Cell,0092-8674,3260,0.094043911,-0.241166879,-0.028099313,0.649100992,0.677200305,55.09570552,4.805521472
Genome research,1088-9051,3204,0.089825316,-0.606331457,-0.065085479,0.658527862,0.723613341,48.00686642,3.765293383
"RNA (New York, N.Y.)",1355-8382,3203,0.076952302,-0.40440024,-0.052878906,0.663653233,0.716532139,47.93974399,3.520449579
British journal of clinical pharmacology,0306-5251,3161,0.107998388,-0.521175214,-0.052440515,0.473562669,0.526003184,31.28155647,2.628598545
Journal of general internal medicine,0884-8734,3138,0.106865729,0.008358626,-0.001297786,0.379761549,0.381059336,29.37794774,2.609623964
Molecular and cellular biochemistry,0300-8177,3118,0.052098036,-0.537572079,-0.100801397,0.617562085,0.718363482,41.04746632,1.809813983
Journal of the American Society for Mass Spectrometry,1044-0305,3117,0.17244891,-1.107946272,-0.064415154,0.670043705,0.734458859,28.8463266,4.529355149
Diabetes,0012-1797,3107,0.12604948,-0.450443255,-0.034060011,0.530330227,0.564390238,40.22433215,4.763437399
The American journal of tropical medicine and hygiene,0002-9637,3105,0.126931299,-1.201345126,-0.096796296,0.589131573,0.68592787,29.72721417,3.505636071
Planta,0032-0935,3082,0.101701123,-0.836056649,-0.071740324,0.654332815,0.726073139,35.84685269,2.694029851
Neuron,0896-6273,3072,0.114516906,-0.349455284,-0.031253934,0.670529221,0.701783155,65.5563151,6.787760417
Oncogene,0950-9232,3069,0.059763409,-0.423488764,-0.07297266,0.659529078,0.732501738,55.1085044,3.057673509
Diabetes care,0149-5992,3055,0.192332433,0.197562164,0.010229008,0.412650579,0.402421571,29.53355155,5.367266776
Neurochemical research,0364-3190,3019,0.052719494,-0.497113457,-0.090244085,0.621869013,0.712113098,47.75455449,2.065253395
Clinical cancer research : an official journal of the American Association for Cancer Research,1078-0432,3014,0.078853484,0.137026155,0.020958298,0.44673213,0.425773832,41.80059721,3.00530856
European journal of applied physiology,1439-6319,3000,0.077315469,-0.63789237,-0.085285088,0.588353915,0.673639003,39.56466667,2.752666667
"Molecules (Basel, Switzerland)",1420-3049,2960,0.075640505,-0.622831113,-0.089255471,0.614248046,0.703503517,38.76689189,1.997972973
Annals of surgery,0003-4932,2948,0.123715311,-0.026098453,-0.003735319,0.461362655,0.465097974,31.75881954,3.555970149
"Bioinformatics (Oxford, England)",1367-4803,2926,0.149911138,0.846409327,0.058021431,0.406923512,0.348902081,26.19412167,3.497607656
Parasites & vectors,1756-3305,2901,0.086881361,0.117009813,0.013916321,0.475873595,0.461957274,41.0513616,2.948293692
Pflugers Archiv : European journal of physiology,0031-6768,2853,0.08711387,-0.50221493,-0.050804127,0.660567328,0.711371455,45.723449,2.916228531
European journal of nuclear medicine and molecular imaging,1619-7070,2796,0.110188437,-0.250377639,-0.021299223,0.432756057,0.454055281,35.61659514,3.430257511
Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,0941-4355,2790,0.087692192,-0.269463659,-0.029452889,0.458754514,0.488207403,31.48422939,2.442293907
"Development (Cambridge, England)",0950-1991,2764,0.137588078,-0.808337292,-0.057318223,0.680365606,0.737683829,60.70803184,8.139290883
"Science (New York, N.Y.)",0036-8075,2731,0.102545208,-0.219475623,-0.025017336,0.628631731,0.653649067,33.48114244,3.107286708
"Journal of neurology, neurosurgery, and psychiatry",0022-3050,2720,0.098539453,-0.230869341,-0.01832552,0.490911221,0.509236741,29.47352941,2.521691176
"Sensors (Basel, Switzerland)",1424-8220,2719,0.171382064,-1.158308615,-0.075356769,0.652312982,0.727669751,26.72563442,3.10187569
Thorax,0040-6376,2705,0.109964998,-0.052642773,-0.006815655,0.460311892,0.467127547,31.26654344,2.894269871
"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",0962-9343,2702,0.117601227,-0.45748206,-0.038395194,0.464302549,0.502697743,30.5984456,3.20096225
Neurology,0028-3878,2701,0.137381624,0.115855423,0.008710452,0.392853841,0.384143389,30.64827842,4.032580526
The Journal of infectious diseases,0022-1899,2701,0.10881904,-0.299394492,-0.026014239,0.444441359,0.470455598,33.91743799,3.330248056
Journal of the American Society of Nephrology : JASN,1046-6673,2688,0.110465414,-0.976836875,-0.089116761,0.554995223,0.644111985,42.60416667,4.306175595
BMJ open,2044-6055,2660,0.049773921,-0.359291397,-0.071287682,0.431827536,0.503115218,33.81466165,1.389097744
BMC health services research,1472-6963,2606,0.072400378,-0.069942593,-0.013117787,0.438780474,0.451898261,29.33921719,1.822716807
International journal of environmental research and public health,1660-4601,2593,0.070920697,-0.707184229,-0.113141732,0.579108486,0.692250218,35.67759352,1.897030467
Human molecular genetics,0964-6906,2584,0.062495172,-0.599952658,-0.100749515,0.647178264,0.747927779,55.49187307,3.329334365
Journal of molecular biology,0022-2836,2583,0.095878872,-0.497329579,-0.050699347,0.666884005,0.717583352,53.40650407,4.723577236
Analytical chemistry,0003-2700,2543,0.194936057,-1.174637131,-0.066077669,0.639967539,0.706045207,36.63429021,6.626425482
Lipids,0024-4201,2539,0.113522757,-0.878899341,-0.077600817,0.607175126,0.684775943,33.61441512,3.138243403
"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",0962-8436,2525,0.111637519,-0.889783141,-0.071403281,0.654985386,0.726388667,56.53663366,4.007128713
International orthopaedics,0341-2695,2520,0.110618421,-0.281923692,-0.0311655,0.554464031,0.585629531,26.90515873,2.861507937
The Journal of clinical endocrinology and metabolism,0021-972X,2519,0.156315794,-0.40985025,-0.025641125,0.369856864,0.395497988,37.9138547,5.751885669
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,0732-183X,2510,0.175155861,-0.260172779,-0.009564726,0.43333221,0.442896937,35.93227092,5.630677291
Endocrinology,0013-7227,2508,0.109572524,-0.660445828,-0.069157934,0.641445338,0.710603272,51.95494418,5.492025518
Journal of experimental botany,0022-0957,2495,0.089850407,-0.506953211,-0.060069429,0.66653563,0.726605059,46.6260521,3.517835671
BMC cancer,1471-2407,2489,0.037148855,-0.080715879,-0.017099927,0.448964582,0.466064509,41.67175573,1.335877863
Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,0256-7040,2447,0.116279553,-0.072196986,-0.010099791,0.465565316,0.475665107,29.70126686,3.016346547
Archives of disease in childhood,0003-9888,2413,0.128872694,-0.106783429,-0.011763843,0.479887276,0.491651119,24.25735599,2.688769167
Angewandte Chemie (International ed. in English),1433-7851,2401,0.147489748,0.821757462,0.058050576,0.576961766,0.518911189,34.22282382,4.823406914
Nutrients,2072-6643,2399,0.046574751,-0.520649321,-0.111445595,0.55445983,0.665905425,60.62609421,2.004585244
International journal of nanomedicine,1176-9114,2390,0.062562991,-0.239152566,-0.041447383,0.567287608,0.608734991,44.89665272,2.3958159
Arthritis research & therapy,1478-6354,2368,0.057632386,-0.271472016,-0.050500671,0.480699345,0.531200015,43.43116554,2.105152027
Journal of neurology,0340-5354,2366,0.065704304,-0.481876385,-0.079090056,0.548114866,0.627204922,34.95815723,1.912087912
European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,0937-4477,2365,0.078974997,-1.217143905,-0.153521093,0.569718506,0.723239599,27.69513742,1.883298097
Magnetic resonance in medicine,0740-3194,2363,0.401302001,-2.631755668,-0.064965147,0.51656048,0.581525627,31.07151926,11.87473551
Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,0721-832X,2362,0.076346419,-0.273457358,-0.035490611,0.484815373,0.520305983,29.6934801,1.976291279
The Journal of general physiology,0022-1295,2360,0.14844687,-0.870457228,-0.057111223,0.643747452,0.700858675,45.91567797,6.411016949
American journal of physiology. Heart and circulatory physiology,0363-6135,2354,0.084763935,-0.917885602,-0.108273843,0.626562785,0.734836628,52.20943076,4.174171623
Journal of lipid research,0022-2275,2340,0.095150308,-0.615876921,-0.05909417,0.606012304,0.665106475,52.57948718,4.444017094
eLife,2050-084X,2330,0.038427543,-0.239751428,-0.058921639,0.644169995,0.703091633,59.32660944,1.632188841
Frontiers in human neuroscience,1662-5161,2316,0.050195902,-0.210975638,-0.049874747,0.639374295,0.689249042,62.43134715,2.207685665
Nature neuroscience,1097-6256,2289,0.086124883,-0.223005103,-0.029678554,0.609480301,0.639158855,43.89296636,3.130624727
Human genetics,0340-6717,2256,0.094525311,-0.724828571,-0.08315226,0.618812807,0.701965066,37.41046099,2.595744681
Developmental biology,0012-1606,2255,0.095111028,-0.49035126,-0.051225425,0.683693504,0.734918929,60.48425721,5.571618625
Molecular cell,1097-2765,2229,0.081764015,-0.31811379,-0.040207899,0.669182899,0.709390798,50.37595334,3.859129655
Biochimica et biophysica acta,0006-3002,2225,0.052436292,-0.123089842,-0.024900836,0.629167899,0.654068736,85.49752809,3.46741573
Neuroscience,0306-4522,2195,0.052627558,-0.332733886,-0.062948924,0.677398152,0.740347076,66.86332574,3.262414579
Environmental monitoring and assessment,0167-6369,2193,0.144594375,-0.785998835,-0.060864545,0.707104155,0.7679687,20.86137711,2.494300046
Molecular & cellular proteomics : MCP,1535-9476,2166,0.069091953,-0.500148618,-0.069972716,0.646437614,0.71641033,58.87950139,3.579409049
Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,0893-133X,2152,0.052556638,-0.527783186,-0.099196251,0.644688629,0.74388488,67.31784387,3.172862454
Nature genetics,1061-4036,2146,0.133500615,-1.33779962,-0.089784142,0.590279324,0.680063466,39.67148183,4.787045666
Memory & cognition,0090-502X,2133,0.174677364,0.006226535,-0.004829331,0.671635624,0.676464955,23.67510549,3.72620722
Sleep,0161-8105,2132,0.152314705,0.080244082,0.008261455,0.3692002,0.360938745,40.57786116,5.544559099
Circulation,0009-7322,2116,0.135156031,0.144519375,0.012784559,0.360221456,0.347436898,45.85066163,5.646975425
Journal of medical Internet research,1438-8871,2094,0.151089809,-0.126565462,-0.011490433,0.291163585,0.302654018,33.1991404,4.617956065
Journal of materials science. Materials in medicine,0957-4530,2086,0.093688279,-0.671907652,-0.0771922,0.658220818,0.735413018,27.0177373,2.137583893
Drugs,0012-6667,2079,0.046256701,-0.599199434,-0.13407275,0.580987579,0.715060328,81.71669072,2.377104377
Genome biology,1474-7596,2064,0.056526018,0.254575122,0.053218305,0.48496617,0.431747866,52.87015504,2.275678295
Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract,1091-255X,2061,0.075338274,-0.506464478,-0.065890837,0.421348736,0.487239573,31.22804464,2.058709364
Circulation research,0009-7330,2044,0.1108146,-0.340948021,-0.032213392,0.418881428,0.451094821,55.89921722,4.926614481
BMC infectious diseases,1471-2334,2042,0.053150153,-0.103022706,-0.016643545,0.457331798,0.473975343,33.89666993,1.547992165
Journal of medicinal chemistry,0022-2623,2022,0.1275002,-1.301394552,-0.096157004,0.592446224,0.688603228,44.84569733,5.209693373
European journal of clinical pharmacology,0031-6970,2018,0.090472175,-0.375522295,-0.039040154,0.484757064,0.523797218,29.30673935,2.2135778
Photosynthesis research,0166-8595,2014,0.134082363,-0.601636506,-0.042381234,0.643163537,0.685544771,38.53624628,4.073982125
American journal of respiratory and critical care medicine,1073-449X,1987,0.13383626,-0.273699699,-0.01876304,0.346185856,0.364948897,41.83392048,5.113739305
Drug and alcohol dependence,0376-8716,1970,0.096990877,-0.481423619,-0.04664058,0.480390763,0.527031343,42.16649746,3.720304569
Journal of chemical ecology,0098-0331,1969,0.280385324,-2.289381116,-0.07422685,0.641983459,0.716210309,23.29608939,5.231589639
Pediatric radiology,0301-0449,1958,0.115814451,-0.250734469,-0.023919772,0.49232054,0.516240312,28.61644535,2.915219612
Surgery today,0941-1291,1955,0.078985613,-0.296276948,-0.037241757,0.541010702,0.57825246,25.93094629,1.694117647
Naunyn-Schmiedeberg's archives of pharmacology,0028-1298,1951,0.101106412,-0.931466686,-0.09123451,0.634831756,0.726066267,38.38544336,3.07227063
Haematologica,0390-6078,1947,0.073491706,-0.119695465,-0.010112171,0.545039589,0.555151759,33.47354905,1.950179764
Molecular therapy : the journal of the American Society of Gene Therapy,1525-0016,1932,0.08829512,-0.584556408,-0.074230427,0.608475327,0.682705755,44.67960663,3.571428571
European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,0934-9723,1929,0.065244795,-0.559168989,-0.093682621,0.614081021,0.707763643,31.21047175,1.571280456
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,0271-678X,1915,0.101900226,-0.941048144,-0.090015326,0.617661865,0.707677191,48.03603133,4.311749347
The British journal of general practice : the journal of the Royal College of General Practitioners,0960-1643,1915,0.145182378,-0.200082169,-0.016514469,0.40374304,0.420257509,22.5305483,2.792167102
Vaccine,0264-410X,1911,0.127843547,-1.115332892,-0.086645886,0.588280868,0.674926754,40.45787546,4.633699634
Journal of biomolecular NMR,0925-2738,1899,0.212838235,-1.01150998,-0.035615864,0.643528462,0.679144326,30.36018957,5.902053712
Biomaterials,0142-9612,1885,0.113009704,-0.934202712,-0.085537843,0.640735694,0.726273537,47.62334218,4.999469496
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,1058-4838,1879,0.115998835,-0.334716052,-0.028749012,0.367388084,0.396137096,34.5784992,3.631186801
BMC evolutionary biology,1471-2148,1875,0.042254115,0.264551861,0.063379815,0.446176714,0.382796899,49.216,1.8272
Medicine,0025-7974,1870,0.056113373,-0.730820757,-0.146575864,0.512457082,0.659032945,32.22139037,1.55026738
"Cell cycle (Georgetown, Tex.)",1551-4005,1869,0.066046526,-0.258271511,-0.039218775,0.657785602,0.697004377,55.41091493,3.333868379
Skeletal radiology,0364-2348,1859,0.106422004,-0.161564617,-0.016619634,0.524483925,0.54110356,25.23830016,2.328133405
Virology,0042-6822,1856,0.092218222,-0.290828729,-0.033001249,0.655451435,0.688452684,54.9919181,4.622306034
American journal of physiology. Renal physiology,1522-1466,1854,0.117116692,-0.998017896,-0.09041778,0.629324823,0.719742603,50.65641855,5.40399137
Journal of nuclear cardiology : official publication of the American Society of Nuclear Cardiology,1071-3581,1853,0.181945738,-0.189711439,-0.013420744,0.444108123,0.457528867,30.90771722,4.723151646
"Alcoholism, clinical and experimental research",0145-6008,1847,0.13377669,0.014407969,0.003445605,0.381241598,0.377795993,47.63724959,6.092582566
Molecular biology reports,0301-4851,1837,0.077445697,-0.87731422,-0.119842919,0.61126368,0.731106599,34.45617855,2.329885683
Clinical rheumatology,0770-3198,1834,0.06395374,-1.019540352,-0.163559908,0.552497384,0.716057291,29.57906216,1.634133043
Journal of anatomy,0021-8782,1824,0.08887307,-0.494584672,-0.054717918,0.631984384,0.686702302,38.49616228,2.704495614
Cancer,0008-543X,1800,0.086751214,-0.153499896,-0.016311529,0.459233944,0.475545473,34.265,2.699444444
Molecular microbiology,0950-382X,1796,0.109086414,-0.719444509,-0.069777,0.651803072,0.721580071,56.75167038,6.058463252
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,1010-4283,1795,0.063468836,-0.936877255,-0.149354475,0.596773459,0.746127934,39.21615599,2.041225627
Journal of molecular evolution,0022-2844,1790,0.100218862,-0.780698779,-0.076489007,0.624077392,0.700566399,40.21340782,3.345251397
Clinical journal of the American Society of Nephrology : CJASN,1555-9041,1766,0.085536703,-0.304848328,-0.029258163,0.338870187,0.36812835,34.24292186,2.498301246
Molecular vision,1090-0535,1759,0.072418323,-0.2769445,-0.02512266,0.430771163,0.455893823,41.95395111,2.686185333
Brain research,0006-8993,1758,0.061756445,-0.317217646,-0.050315984,0.666071142,0.716387126,61.80716724,3.368031854
Journal of visualized experiments : JoVE,1940-087X,1758,0.071430393,-0.601749838,-0.087688244,0.658485698,0.746173943,26.34812287,1.610921502
Molecular & general genetics : MGG,0026-8925,1753,0.089564544,-0.737158052,-0.085678268,0.6333482,0.719026467,30.90017114,2.597261837
Social psychiatry and psychiatric epidemiology,0933-7954,1752,0.097890112,-0.024200871,-0.002015022,0.457007103,0.459022125,33.37728311,2.894977169
